Step: 500 Time: 0.05 Boundary Angle: 0
0,1,2,9.04989,-61.2699
1,1,2,5.04614,-61.0849
2,1,2,-7.84661,-60.4429
3,1,2,1.24579,-59.8011
4,1,2,-2.74998,-60.1063
-----------------------------------
Step: 1000 Time: 0.1 Boundary Angle: 0
0,1,2,9.52965,-64.9326
1,1,2,5.43382,-64.9041
2,1,2,-8.07967,-63.5808
3,1,2,1.86558,-63.0157
4,1,2,-3.9797,-63.9824
5,1,2,-0.692411,-59.3943
6,1,2,-11.0342,-60.2156
7,1,2,-4.73931,-59.735
8,1,2,7.19616,-60.2249
9,1,2,3.38091,-58.9296
-----------------------------------
Step: 1500 Time: 0.15 Boundary Angle: 0
0,1,2,9.33661,-71.0733
1,1,2,5.22002,-69.9901
2,1,2,-8.28646,-68.5371
3,1,2,2.06522,-67.3088
4,1,2,-3.85962,-68.715
5,1,2,-0.383063,-63.3973
6,1,2,-10.6963,-63.6056
7,1,2,-5.21377,-57.6888
8,1,2,7.08964,-65.2023
9,1,2,2.25907,-60.3694
10,1,2,-4.29923,-64.6347
11,1,2,10.3224,-60.5733
12,1,2,6.58197,-57.2175
13,1,2,-6.77065,-61.3787
14,1,2,6.18921,-61.2036
-----------------------------------
Step: 2000 Time: 0.2 Boundary Angle: 0
0,1,2,9.14358,-79.6665
1,1,2,5.00623,-77.5286
2,1,2,-8.49325,-75.9458
3,1,2,2.26486,-74.0543
4,1,2,-3.87693,-73.6735
5,1,2,0.317344,-69.3457
6,1,2,-10.3856,-69.4635
7,1,2,-5.30737,-59.5359
8,1,2,7.10661,-69.1097
9,1,2,1.45546,-65.066
10,1,2,-4.66651,-69.0956
11,1,2,11.0193,-64.3413
12,1,2,5.92452,-57.7877
13,1,2,-7.42293,-65.7855
14,1,2,5.67152,-65.3443
15,1,2,-3.65027,-63.1845
16,1,2,7.23135,-61.5932
17,1,2,-9.25129,-60.3486
18,1,2,2.95587,-60.6493
19,1,2,10.6765,-59.3852
-----------------------------------
Step: 2500 Time: 0.25 Boundary Angle: 0
0,1,2,8.95055,-90.7122
1,1,2,4.79243,-87.5196
2,1,2,-8.70003,-85.8071
3,1,2,2.46449,-83.2523
4,1,2,-3.89424,-81.0845
5,1,2,1.21466,-77.2321
6,1,2,-9.78208,-77.583
7,1,2,-6.49984,-62.9246
8,1,2,6.89793,-75.0993
9,1,2,1.866,-71.6013
10,1,2,-5.04641,-75.9432
11,1,2,10.647,-69.7794
12,1,2,2.58469,-60.2475
13,1,2,-7.41016,-71.9804
14,1,2,6.04374,-70.9939
15,1,2,-3.46616,-68.4216
16,1,2,7.46257,-67.0487
17,1,2,-10.4895,-64.0765
18,1,2,1.7788,-64.6934
19,1,2,13.5415,-62.0027
20,1,2,-2.33654,-63.2753
21,1,2,10.4612,-59.4246
22,1,2,7.03382,-62.7996
23,1,2,6.37967,-58.5917
24,1,2,-1.36459,-59.1161
-----------------------------------
Step: 3000 Time: 0.3 Boundary Angle: 0
0,1,2,8.75752,-104.21
1,1,2,4.57864,-99.9631
2,1,2,-8.90682,-98.1208
3,1,2,2.66413,-94.9029
4,1,2,-3.91155,-90.948
5,1,2,2.11198,-87.571
6,1,2,-9.17859,-88.1551
7,1,2,-6.4727,-69.1226
8,1,2,6.27175,-82.489
9,1,2,2.74185,-80.6269
10,1,2,-5.42631,-85.2433
11,1,2,10.7558,-77.3741
12,1,2,3.77815,-66.4415
13,1,2,-7.39739,-80.6277
14,1,2,6.68407,-77.2547
15,1,2,-3.12006,-75.4023
16,1,2,7.86436,-71.9327
17,1,2,-11.2336,-69.9726
18,1,2,0.635272,-71.139
19,1,2,13.9363,-67.2157
20,1,2,-1.03503,-66.9914
21,1,2,10.8614,-64.1135
22,1,2,7.67179,-67.8429
23,1,2,5.06645,-62.4289
24,1,2,-2.78685,-59.7287
25,1,2,0.17727,-62.4275
26,1,2,-5.17584,-62.992
27,1,2,9.09576,-59.4691
28,1,2,-6.65835,-58.3783
29,1,2,-9.70763,-60.9695
-----------------------------------
Step: 3500 Time: 0.35 Boundary Angle: 0
0,1,2,8.5788,-117.688
1,1,2,4.36484,-114.859
2,1,2,-9.11361,-112.887
3,1,2,2.86377,-109.006
4,1,2,-3.92887,-103.264
